Theta,Radius,Area
0,1.3555e-15,0
0.0317333,0.0157573,0.000646051
0.0634665,0.0313344,0.00255918
0.0951998,0.0465594,0.00566542
0.126933,0.0612843,0.00984544
0.158666,0.0753929,0.0149416
0.1904,0.0888053,0.0207694
0.222133,0.101479,0.0271329
0.253866,0.113406,0.0338436
0.285599,0.124609,0.040739
0.317333,0.135135,0.0476976
0.349066,0.145045,0.054647
0.380799,0.154408,0.0615629
0.412532,0.163293,0.0684598
0.444266,0.171756,0.0753761
0.475999,0.179838,0.0823566
0.507732,0.187556,0.0894348
0.539465,0.194906,0.0966191
0.571199,0.201863,0.103883
0.602932,0.20839,0.111164
0.634665,0.214445,0.118373
0.666398,0.219989,0.125409
0.698132,0.224998,0.132184
0.729865,0.229464,0.138633
0.761598,0.2334,0.144721
0.793331,0.236834,0.150435
0.825065,0.23981,0.155767
0.856798,0.242375,0.160703
0.888531,0.244575,0.165228
0.920265,0.246446,0.169331
0.951998,0.248002,0.173017
0.983731,0.249235,0.176303
1.01546,0.250106,0.17925
1.0472,0.250552,0.18178
1.07893,0.250491,0.183681
1.11066,0.249834,0.184712
1.1424,0.248498,0.184569
1.17413,0.246429,0.182991
1.20586,0.243606,0.179823
1.2376,0.24006,0.17494
1.26933,0.235871,0.168464
1.30106,0.231168,0.160711
1.3328,0.226118,0.152153
1.36453,0.220918,0.143343
1.39626,0.215777,0.134822
1.428,0.210902,0.127038
1.45973,0.206487,0.120281
1.49146,0.202696,0.114669
1.5232,0.199656,0.110171
1.55493,0.197445,0.106659
1.58666,0.196087,0.10397
1.6184,0.19555,0.101945
1.65013,0.195752,0.100446
1.68186,0.196573,0.0993551
1.7136,0.197868,0.0985615
1.74533,0.199485,0.0979608
1.77706,0.201282,0.0974557
1.8088,0.203135,0.0969653
1.84053,0.204947,0.0964427
1.87226,0.206649,0.0958795
1.904,0.2082,0.0952995
1.93573,0.209582,0.0947441
1.96746,0.210791,0.0942158
1.9992,0.211838,0.0936989
2.03093,0.21274,0.0931975
2.06266,0.213515,0.0927409
2.0944,0.21418,0.0923818
2.12613,0.21475,0.0921874
2.15786,0.215233,0.0922276
2.18959,0.215629,0.0925606
2.22133,0.215927,0.0932172
2.25306,0.216108,0.0941929
2.28479,0.216138,0.0954554
2.31653,0.215971,0.096934
2.34826,0.21555,0.0985102
2.37999,0.214804,0.100028
2.41173,0.213654,0.101312
2.44346,0.212014,0.102188
2.47519,0.209794,0.102489
2.50693,0.206907,0.102067
2.53866,0.203272,0.100794
2.57039,0.198818,0.098566
2.60213,0.193489,0.0953135
2.63386,0.187252,0.0910085
2.66559,0.180098,0.0856769
2.69733,0.172045,0.0794049
2.72906,0.163138,0.0723383
2.76079,0.153443,0.064674
2.79253,0.143045,0.0566435
2.82426,0.132031,0.0484937
2.85599,0.120484,0.0404665
2.88773,0.108472,0.0327826
2.91946,0.0960442,0.0256311
2.95119,0.0832329,0.0191654
2.98293,0.0700598,0.0135066
3.01466,0.0565463,0.0087494
3.04639,0.0427241,0.00496876
3.07813,0.0286429,0.00222373
3.10986,0.0143724,0.00055829
3.14159,1.39095e-15,3.29505e-17
