Theta,Radius,Area
0,1.5605e-15,0
0.0317333,0.0150184,0.000575735
0.0634665,0.0299618,0.00229978
0.0951998,0.0447451,0.00515495
0.126933,0.0592718,0.00909166
0.158666,0.0734336,0.0140097
0.1904,0.0871134,0.0197501
0.222133,0.100192,0.0261028
0.253866,0.112554,0.0328261
0.285599,0.124098,0.0396733
0.317333,0.134738,0.0464155
0.349066,0.144409,0.052856
0.380799,0.153068,0.0588324
0.412532,0.160693,0.0642105
0.444266,0.167287,0.0688787
0.475999,0.172872,0.0727478
0.507732,0.177491,0.0757595
0.539465,0.181207,0.0778989
0.571199,0.184094,0.0792029
0.602932,0.186237,0.0797586
0.634665,0.187724,0.0796908
0.666398,0.188641,0.0791418
0.698132,0.189073,0.0782501
0.729865,0.189096,0.0771354
0.761598,0.188784,0.0758907
0.793331,0.188206,0.074578
0.825065,0.187425,0.0732261
0.856798,0.186501,0.071843
0.888531,0.185488,0.0704461
0.920265,0.184436,0.0691917
0.951998,0.183389,0.0680238
0.983731,0.182383,0.0669403
1.01546,0.18145,0.0659837
1.0472,0.180612,0.0652161
1.07893,0.179886,0.0647261
1.11066,0.179278,0.0645462
1.1424,0.178783,0.0646716
1.17413,0.178387,0.0650938
1.20586,0.17807,0.0657982
1.2376,0.177812,0.0667646
1.26933,0.177608,0.0679689
1.30106,0.177475,0.0693897
1.3328,0.177455,0.0710117
1.36453,0.177607,0.0728091
1.39626,0.177997,0.0747282
1.428,0.178678,0.0766877
1.45973,0.179689,0.0785954
1.49146,0.18105,0.0803758
1.5232,0.182774,0.0820084
1.55493,0.184874,0.0835608
1.58666,0.18737,0.085192
1.6184,0.190286,0.0871253
1.65013,0.193646,0.0896199
1.68186,0.197455,0.0929457
1.7136,0.201687,0.0973278
1.74533,0.206275,0.10282
1.77706,0.21111,0.109211
1.8088,0.21605,0.116112
1.84053,0.22093,0.12306
1.87226,0.225579,0.129588
1.904,0.229834,0.135286
1.93573,0.233556,0.139838
1.96746,0.236635,0.143057
1.9992,0.239002,0.144887
2.03093,0.240626,0.145412
2.06266,0.24152,0.144823
2.0944,0.241728,0.143362
2.12613,0.241326,0.141248
2.15786,0.240404,0.138686
2.18959,0.239058,0.135874
2.22133,0.237373,0.132989
2.25306,0.235413,0.130158
2.28479,0.233214,0.127437
2.31653,0.230783,0.124802
2.34826,0.228097,0.12216
2.37999,0.225116,0.119365
2.41173,0.221792,0.116251
2.44346,0.218079,0.112673
2.47519,0.213936,0.108547
2.50693,0.209334,0.103866
2.53866,0.204249,0.0986964
2.57039,0.198663,0.0931444
2.60213,0.192557,0.0873232
2.63386,0.185907,0.0813241
2.66559,0.178689,0.0752061
2.69733,0.170877,0.0690015
2.72906,0.162447,0.0627277
2.76079,0.15338,0.0563984
2.79253,0.143665,0.0500306
2.82426,0.133297,0.0436503
2.85599,0.122284,0.0372991
2.88773,0.11064,0.0310407
2.91946,0.0983898,0.0249663
2.95119,0.0855685,0.019198
2.98293,0.07222,0.0138864
3.01466,0.0584007,0.00920264
3.04639,0.0441798,0.00532388
3.07813,0.0296404,0.00241534
3.10986,0.0148785,0.000611459
3.14159,4.07087e-16,1.98526e-17
